Country,City,Temp,Lat,Lon,Humidity,Cloudiness,Wind Speed
pf,rikitea,,,,,,
ar,rio cuarto,,,,,,
cl,coihaique,,,,,,
ua,markivka,,,,,,
ar,ushuaia,,,,,,
in,baberu,,,,,,
mu,bambous virieux,,,,,,
uy,chuy,,,,,,
in,port blair,,,,,,
sc,victoria,,,,,,
ru,nikolskoye,,,,,,
ru,goryachegorsk,,,,,,
za,bredasdorp,,,,,,
mr,atar,,,,,,
gl,qaanaaq,,,,,,
pf,rikitea,,,,,,
ru,ous,,,,,,
ye,yarim,,,,,,
no,berlevag,,,,,,
gl,illoqqortoormiut,,,,,,
cl,punta arenas,,,,,,
au,busselton,,,,,,
cy,lemesos,,,,,,
mx,constitucion,,,,,,
cl,lebu,,,,,,
fr,provins,,,,,,
au,griffith,,,,,,
mx,san patricio,,,,,,
jp,kamaishi,,,,,,
pf,rikitea,,,,,,
us,half moon bay,,,,,,
ru,provideniya,,,,,,
cl,punta arenas,,,,,,
ca,tuktoyaktuk,,,,,,
au,port lincoln,,,,,,
za,kruisfontein,,,,,,
pf,tautira,,,,,,
in,champua,,,,,,
us,hilo,,,,,,
ar,ushuaia,,,,,,
ca,estevan,,,,,,
fi,kemi,,,,,,
ru,nikolskoye,,,,,,
za,port elizabeth,,,,,,
ec,playas,,,,,,
za,bredasdorp,,,,,,
ck,avarua,,,,,,
gl,qasigiannguit,,,,,,
gl,nanortalik,,,,,,
mg,taolanaro,,,,,,
za,umzimvubu,,,,,,
nz,bluff,,,,,,
de,genthin,,,,,,
mg,taolanaro,,,,,,
id,praya,,,,,,
mg,mananjary,,,,,,
ca,dryden,,,,,,
us,sitka,,,,,,
ca,peace river,,,,,,
za,port alfred,,,,,,
bf,djibo,,,,,,
gn,dinguiraye,,,,,,
us,bethel,,,,,,
za,bredasdorp,,,,,,
kz,dzhusaly,,,,,,
pf,rikitea,,,,,,
sh,georgetown,,,,,,
ru,saskylakh,,,,,,
cv,sao filipe,,,,,,
ru,polovinnoye,,,,,,
tr,yerkoy,,,,,,
sd,raga,,,,,,
gl,upernavik,,,,,,
au,karratha,,,,,,
er,ginda,,,,,,
mg,toliary,,,,,,
pf,mataura,,,,,,
mg,antsohihy,,,,,,
cf,ndele,,,,,,
sj,barentsburg,,,,,,
pf,mataura,,,,,,
za,cape town,,,,,,
cn,yumen,,,,,,
us,bethel,,,,,,
ne,arlit,,,,,,
ca,kitimat,,,,,,
bf,gayeri,,,,,,
so,garowe,,,,,,
br,sao paulo de olivenca,,,,,,
pf,rikitea,,,,,,
au,carnarvon,,,,,,
mx,ixtapa,,,,,,
pw,kloulklubed,,,,,,
au,albany,,,,,,
ru,ust-nera,,,,,,
au,broome,,,,,,
eg,safaga,,,,,,
cn,korla,,,,,,
so,bosaso,,,,,,
pf,rikitea,,,,,,
au,mareeba,,,,,,
au,busselton,,,,,,
ca,tuktoyaktuk,,,,,,
mz,cuamba,,,,,,
ru,talnakh,,,,,,
kz,derzhavinsk,,,,,,
za,bredasdorp,,,,,,
za,cape town,,,,,,
ca,pangnirtung,,,,,,
za,kruisfontein,,,,,,
mg,taolanaro,,,,,,
au,carnarvon,,,,,,
nc,voh,,,,,,
is,skagastrond,,,,,,
sj,longyearbyen,,,,,,
ar,comodoro rivadavia,,,,,,
ca,pangnirtung,,,,,,
ck,avarua,,,,,,
za,port alfred,,,,,,
pf,rikitea,,,,,,
cv,sao filipe,,,,,,
sc,victoria,,,,,,
za,bredasdorp,,,,,,
us,pierre,,,,,,
pf,mataura,,,,,,
mr,atar,,,,,,
pf,rikitea,,,,,,
ar,ushuaia,,,,,,
ki,butaritari,,,,,,
us,hilo,,,,,,
es,icod de los vinos,,,,,,
ru,artyk,,,,,,
us,college,,,,,,
ph,balingasay,,,,,,
in,paithan,,,,,,
au,busselton,,,,,,
mu,mahebourg,,,,,,
au,albany,,,,,,
id,sorong,,,,,,
ar,ushuaia,,,,,,
cd,bolobo,,,,,,
cn,zhangye,,,,,,
cn,xiaoweizhai,,,,,,
au,albany,,,,,,
ru,chokurdakh,,,,,,
ru,omsukchan,,,,,,
sh,jamestown,,,,,,
id,palabuhanratu,,,,,,
za,east london,,,,,,
au,busselton,,,,,,
mu,mahebourg,,,,,,
pw,meyungs,,,,,,
us,worland,,,,,,
ru,belushya guba,,,,,,
wf,vaitupu,,,,,,
sh,jamestown,,,,,,
kz,balkhash,,,,,,
ru,bichura,,,,,,
za,margate,,,,,,
gl,tasiilaq,,,,,,
nc,fayaoue,,,,,,
by,kobryn,,,,,,
cl,punta arenas,,,,,,
nz,bluff,,,,,,
se,ostersund,,,,,,
za,cape town,,,,,,
br,maragogi,,,,,,
ru,barguzin,,,,,,
jp,katsuura,,,,,,
nz,dunedin,,,,,,
us,kapaa,,,,,,
cl,coihaique,,,,,,
au,portland,,,,,,
pt,arrifes,,,,,,
mm,ye,,,,,,
mr,atar,,,,,,
au,nelson bay,,,,,,
ca,attawapiskat,,,,,,
ru,vrangel,,,,,,
za,cape town,,,,,,
za,bredasdorp,,,,,,
kz,shetpe,,,,,,
pf,mataura,,,,,,
sa,abha,,,,,,
cl,punta arenas,,,,,,
br,gramado,,,,,,
nz,ngunguru,,,,,,
sb,kirakira,,,,,,
us,sitka,,,,,,
ca,norman wells,,,,,,
br,santa vitoria do palmar,,,,,,
is,husavik,,,,,,
pf,mataura,,,,,,
ru,belushya guba,,,,,,
no,varhaug,,,,,,
us,kapaa,,,,,,
jp,katsuura,,,,,,
za,port elizabeth,,,,,,
ck,avarua,,,,,,
ru,provideniya,,,,,,
br,pilar do sul,,,,,,
id,sungaipenuh,,,,,,
ca,tuktoyaktuk,,,,,,
ec,san cristobal,,,,,,
so,xuddur,,,,,,
ru,surok,,,,,,
ru,usinsk,,,,,,
gh,agogo,,,,,,
gl,qaanaaq,,,,,,
au,hobart,,,,,,
mg,tsihombe,,,,,,
au,new norfolk,,,,,,
ar,ushuaia,,,,,,
ru,bilibino,,,,,,
pt,ribeira grande,,,,,,
bb,bathsheba,,,,,,
ag,codrington,,,,,,
us,isla vista,,,,,,
sh,jamestown,,,,,,
cl,lebu,,,,,,
cl,punta arenas,,,,,,
ru,leningradskiy,,,,,,
mu,grand river south east,,,,,,
ca,iqaluit,,,,,,
au,broome,,,,,,
mg,mahajanga,,,,,,
ec,puerto ayora,,,,,,
us,kodiak,,,,,,
au,busselton,,,,,,
pt,ribeira grande,,,,,,
nz,bluff,,,,,,
cl,punta arenas,,,,,,
ca,yellowknife,,,,,,
ru,nikolskoye,,,,,,
us,hilo,,,,,,
cn,haibowan,,,,,,
id,biak,,,,,,
no,amli,,,,,,
ru,nyagan,,,,,,
gl,qaanaaq,,,,,,
za,port alfred,,,,,,
mu,mahebourg,,,,,,
nz,bluff,,,,,,
id,sembakung,,,,,,
mr,nouadhibou,,,,,,
ca,yellowknife,,,,,,
ca,yellowknife,,,,,,
to,vaini,,,,,,
us,barrow,,,,,,
au,albany,,,,,,
ru,amderma,,,,,,
mg,taolanaro,,,,,,
br,joao pinheiro,,,,,,
